project_id,plotid,year,day,landuse,landcover,change_process
28,212,2000,185,Forest,Treed,Unknown canopy disturbance
28,212,2018,194,Forest,Treed,Stable
28,213,1984,199,Forest,Treed,
28,213,1987,200,Forest,Treed,Stable
28,213,1988,203,Forest,Non-treed,Unknown canopy disturbance
28,213,1997,202,Forest,Treed,Regrowth
28,213,2018,197,Forest,Treed,Stable
28,214,1984,222,Forest,Treed,
28,214,2018,203,Forest,Treed,Stable
28,215,1984,199,Forest,Treed,
28,215,1986,204,Forest,Non-treed,Unknown canopy disturbance
28,215,2000,210,Forest,Treed,Regrowth
28,215,2017,200,Forest,Treed,Stable
28,215,2018,203,Forest,Non-treed,Unknown canopy disturbance
28,216,1984,199,Other,Non-treed,
28,216,2018,196,Other,Non-treed,Stable
28,217,1984,197,Forest,Treed,
28,217,2018,202,Forest,Treed,Stable
28,218,1984,197,Forest,Treed,
28,218,2018,202,Forest,Treed,Stable
28,219,1984,222,Other,Non-treed,
28,219,2018,195,Other,Non-treed,Stable
28,220,1984,174,Forest,Treed,
28,220,2018,203,Forest,Treed,Stable
28,221,1984,215,Forest,Non-treed,
28,221,2004,190,Forest,Treed,Stable
28,221,2018,196,Forest,Treed,Regrowth
28,222,1984,222,Other,Non-treed,
28,222,2018,187,Other,Non-treed,Stable
28,223,1984,215,Forest,Non-treed,
28,223,2005,199,Forest,Treed,Stable
28,223,2013,198,Forest,Treed,Regrowth
28,223,2018,203,Forest,Treed,Stable
28,224,1984,222,Other,Non-treed,
28,224,2018,203,Other,Non-treed,Stable
28,225,1984,199,Forest,Treed,
28,225,2018,197,Forest,Treed,Stable
28,226,1984,222,Forest,Treed,
28,226,2018,203,Forest,Treed,Stable
28,227,1984,197,Forest,Treed,
28,227,2018,202,Forest,Treed,Stable
28,228,1984,183,Forest,Treed,
28,228,2018,203,Forest,Treed,Stable
28,229,1984,215,Forest,Treed,
28,229,2018,196,Forest,Treed,Stable
28,230,1984,254,Other,Non-treed,
28,230,2018,203,Other,Non-treed,Stable
28,231,1984,199,Forest,Treed,
28,231,2018,196,Forest,Treed,Stable
28,232,1984,199,Other,Non-treed,
28,232,2018,196,Other,Non-treed,Stable
28,233,1984,222,Forest,Treed,
28,233,1999,199,Forest,Treed,Stable
28,233,2000,162,Forest,Treed,Unknown canopy disturbance
28,233,2018,203,Forest,Treed,Stable
28,234,1984,199,Forest,Treed,
28,234,2018,196,Forest,Treed,Stable
28,235,1984,199,Forest,Treed,
28,235,1995,181,Forest,Treed,Regrowth
28,235,2018,196,Forest,Treed,Stable
28,236,1984,197,Forest,Treed,
28,236,2018,202,Forest,Treed,Stable
28,237,1984,199,Forest,Non-treed,
28,237,1996,200,Forest,Treed,Stable
28,237,2004,190,Forest,Treed,Regrowth
28,237,2018,196,Forest,Treed,Stable
28,238,1984,215,Other,Non-treed,
28,238,2018,203,Other,Non-treed,Stable
28,239,1984,199,Forest,Treed,
28,239,2018,197,Forest,Treed,Stable
28,240,1984,197,Forest,Treed,
28,240,2018,202,Forest,Treed,Stable
28,241,1984,197,Other,Non-treed,
28,241,2018,194,Other,Non-treed,Stable
28,242,1984,222,Other,Non-treed,
28,242,2018,203,Other,Non-treed,Stable
28,243,1984,215,Forest,Treed,
28,243,2017,200,Forest,Treed,Stable
28,243,2018,196,Forest,Non-treed,Unknown canopy disturbance
28,244,1984,215,Forest,Treed,
28,244,2018,196,Forest,Treed,Stable
28,245,1984,222,Forest,Treed,
28,245,2018,203,Forest,Treed,Stable
28,246,1984,222,Forest,Non-treed,
28,246,1992,205,Forest,Treed,Regrowth
28,246,2018,196,Forest,Treed,Stable
28,247,1984,197,Forest,Treed,
28,247,2018,202,Forest,Treed,Stable
28,248,1984,222,Other,Non-treed,
28,248,2018,203,Other,Non-treed,Stable
28,249,1984,215,Other,Non-treed,
28,249,2018,196,Other,Non-treed,Stable
28,250,1984,197,Other,Non-treed,
28,250,2018,203,Other,Non-treed,Stable
28,251,1984,199,Forest,Non-treed,
28,251,1997,202,Forest,Treed,Stable
28,251,2005,201,Forest,Treed,Regrowth
28,251,2018,220,Forest,Treed,Stable
28,252,1984,197,Forest,Treed,
28,252,2018,195,Forest,Treed,Stable
28,253,1984,199,Forest,Non-treed,
28,253,2005,201,Forest,Treed,Stable
28,253,2013,198,Forest,Treed,Regrowth
28,253,2018,196,Forest,Treed,Stable
28,254,1984,197,Other,Non-treed,
28,254,2018,202,Other,Non-treed,Stable
28,255,1984,199,Forest,Treed,
28,255,2018,196,Forest,Treed,Stable
28,256,1984,197,Forest,Treed,
28,256,2018,202,Forest,Treed,Stable
28,257,1984,222,Forest,Treed,
28,257,2018,203,Forest,Treed,Stable
28,258,1984,222,Forest,Non-treed,
28,258,2007,197,Forest,Treed,Stable
28,258,2018,203,Forest,Treed,Regrowth
28,259,1984,199,Forest,Treed,
28,259,2018,196,Forest,Treed,Stable
28,260,1984,222,Forest,Non-treed,
28,260,1999,215,Forest,Treed,Stable
28,260,2009,202,Forest,Treed,Regrowth
28,260,2018,203,Forest,Treed,Stable
28,261,1984,197,Other,Non-treed,
28,261,2018,201,Other,Non-treed,Stable
28,262,1984,197,Other,Non-treed,
28,262,2018,202,Other,Non-treed,Stable
28,263,1984,197,Forest,Non-treed,
28,263,2003,201,Forest,Treed,Stable
28,263,2010,204,Forest,Treed,Regrowth
28,263,2018,202,Forest,Treed,Stable
28,264,1984,222,Forest,Treed,
28,264,2018,187,Forest,Treed,Stable
28,265,1984,197,Other,Non-treed,
28,265,2018,202,Other,Non-treed,Stable
28,266,1984,199,Forest,Treed,
28,266,2018,204,Forest,Treed,Stable
28,267,1984,197,Forest,Treed,
28,267,1989,203,Forest,Treed,Stable
28,267,1990,174,Forest,Non-treed,Unknown canopy disturbance
28,267,1999,199,Forest,Treed,Regrowth
28,267,2017,200,Forest,Treed,Stable
28,267,2018,202,Forest,Non-treed,Unknown canopy disturbance
28,268,1984,199,Forest,Treed,
28,268,2018,196,Forest,Treed,Stable
28,269,1984,222,Forest,Treed,
28,269,2018,203,Forest,Treed,Stable
28,270,1984,199,Other,Non-treed,
28,270,2018,203,Other,Non-treed,Stable
28,271,1984,222,Forest,Treed,
28,271,1999,199,Forest,Treed,Stable
28,271,2000,210,Forest,Non-treed,Unknown canopy disturbance
28,271,2018,203,Forest,Treed,Regrowth
28,272,1984,197,Forest,Treed,
28,272,2018,202,Forest,Treed,Stable
28,273,1984,199,Other,Non-treed,
28,273,2018,203,Other,Non-treed,Stable
28,274,1984,199,Forest,Non-treed,
28,274,1996,200,Forest,Treed,Regrowth
28,274,2018,196,Forest,Treed,Stable
28,275,1984,199,Forest,Treed,
28,275,2018,197,Forest,Treed,Stable
28,276,1984,199,Forest,Treed,
28,276,2018,196,Forest,Treed,Stable
28,277,1984,199,Forest,Treed,
28,277,2018,197,Forest,Treed,Stable
28,278,1984,199,Forest,Non-treed,
28,278,1996,200,Forest,Treed,Stable
28,278,2011,185,Forest,Treed,Regrowth
28,278,2018,196,Forest,Treed,Stable
28,279,1984,199,Forest,Treed,
28,279,2018,220,Forest,Treed,Stable
28,280,1984,199,Forest,Non-treed,
28,280,2001,197,Forest,Treed,Regrowth
28,280,2018,197,Forest,Treed,Stable
28,281,1984,222,Forest,Treed,
28,281,2018,203,Forest,Treed,Stable
28,282,1984,215,Other,Non-treed,
28,282,2018,203,Other,Non-treed,Stable
28,283,1984,215,Forest,Non-treed,
28,283,1995,181,Forest,Treed,Regrowth
28,283,2018,203,Forest,Treed,Stable
28,284,1984,199,Forest,Treed,
28,284,2018,196,Forest,Treed,Stable
28,285,1984,199,Other,Non-treed,
28,285,2018,197,Other,Non-treed,Stable
28,286,1984,199,Forest,Treed,
28,286,2018,229,Forest,Treed,Stable
28,287,1984,183,Other,Non-treed,
28,287,2018,203,Other,Non-treed,Stable
28,288,1984,199,Forest,Treed,
28,288,2018,203,Forest,Treed,Stable
28,289,1984,192,Other,Non-treed,
28,289,2018,197,Other,Non-treed,Stable
28,290,1984,197,Forest,Non-treed,
28,290,2000,201,Forest,Treed,Stable
28,290,2006,201,Forest,Treed,Regrowth
28,290,2018,195,Forest,Treed,Stable
28,291,1984,215,Forest,Treed,
28,291,2018,212,Forest,Treed,Stable
28,292,1984,199,Other,Non-treed,
28,292,2018,196,Other,Non-treed,Stable
28,293,1984,199,Other,Non-treed,
28,293,2018,196,Other,Non-treed,Stable
28,294,1984,197,Other,Non-treed,
28,294,2018,202,Other,Non-treed,Stable
28,295,1984,197,Forest,Treed,
28,295,2018,202,Forest,Treed,Stable
28,296,1984,197,Forest,Treed,
28,296,2018,203,Forest,Treed,Stable
28,297,1984,222,Other,Non-treed,
28,297,2018,203,Other,Non-treed,Stable
28,298,1984,197,Forest,Treed,
28,298,2003,201,Forest,Treed,Stable
28,298,2004,204,Forest,Non-treed,Unknown canopy disturbance
28,298,2018,202,Forest,Treed,Regrowth
28,299,1984,222,Forest,Treed,
28,299,2018,203,Forest,Treed,Stable
28,300,1984,222,Forest,Treed,
28,300,2018,203,Forest,Treed,Stable
28,301,1984,199,Forest,Treed,
28,301,2018,221,Forest,Treed,Stable
28,302,1984,197,Other,Non-treed,
28,302,2018,194,Other,Non-treed,Stable
28,303,1984,222,Forest,Treed,
28,303,2018,203,Forest,Treed,Stable
28,304,1984,215,Forest,Treed,
28,304,2018,188,Forest,Treed,Stable
28,305,1984,197,Forest,Treed,
28,305,2018,194,Forest,Treed,Stable
28,306,1984,215,Forest,Treed,
28,306,2015,196,Forest,Treed,Stable
28,306,2016,207,Forest,Treed,Unknown canopy disturbance
28,306,2018,196,Forest,Treed,Stable
28,307,1984,222,Forest,Non-treed,
28,307,2001,196,Forest,Treed,Stable
28,307,2008,192,Forest,Treed,Regrowth
28,307,2018,203,Forest,Treed,Stable
28,308,1984,197,Forest,Treed,
28,308,2018,202,Forest,Treed,Stable
28,309,1984,197,Forest,Non-treed,
28,309,1999,199,Forest,Treed,Stable
28,309,2008,199,Forest,Treed,Regrowth
28,309,2018,202,Forest,Treed,Stable
28,310,1984,222,Forest,Treed,
28,310,1998,212,Forest,Treed,Stable
28,310,2000,210,Forest,Treed,Unknown canopy disturbance
28,310,2018,219,Forest,Treed,Stable
28,311,1984,197,Other,Non-treed,
28,311,2018,202,Other,Non-treed,Stable
28,312,1984,222,Forest,Treed,
28,312,2018,203,Forest,Treed,Stable
28,313,1984,222,Forest,Treed,
28,313,2018,196,Forest,Treed,Stable
28,314,1984,215,Forest,Non-treed,
28,314,2002,192,Forest,Treed,Stable
28,314,2010,198,Forest,Treed,Regrowth
28,314,2018,220,Forest,Treed,Stable
28,315,1984,215,Forest,Treed,
28,315,2018,220,Forest,Treed,Stable
28,316,1984,215,Forest,Treed,
28,316,1990,206,Forest,Treed,Stable
28,316,1992,189,Forest,Treed,Unknown canopy disturbance
28,316,2012,211,Forest,Treed,Stable
28,316,2013,197,Forest,Non-treed,Unknown canopy disturbance
28,316,2018,203,Forest,Treed,Regrowth
28,317,1984,222,Forest,Treed,
28,317,2018,203,Forest,Treed,Stable
28,318,1984,199,Forest,Treed,
28,318,2018,196,Forest,Treed,Stable
28,319,1984,215,Other,Non-treed,
28,319,2018,203,Other,Non-treed,Stable
28,320,1984,215,Forest,Treed,
28,320,2018,203,Forest,Treed,Stable
28,321,1984,199,Other,Non-treed,
28,321,2018,203,Other,Non-treed,Stable
28,322,1984,215,Forest,Non-treed,
28,322,2000,203,Forest,Treed,Stable
28,322,2009,203,Forest,Treed,Regrowth
28,322,2018,203,Forest,Treed,Stable
28,323,1984,199,Forest,Treed,
28,323,2018,204,Forest,Treed,Stable
28,324,1984,183,Forest,Non-treed,
28,324,2001,197,Forest,Treed,Stable
28,324,2014,200,Forest,Treed,Regrowth
28,324,2018,203,Forest,Treed,Stable
28,325,1984,197,Forest,Treed,
28,325,2018,187,Forest,Treed,Stable
28,339,1984,222,Forest,Non-treed,
28,339,2013,205,Forest,Treed,Stable
28,339,2018,203,Forest,Treed,Regrowth
28,340,1984,199,Forest,Treed,
28,340,2018,204,Forest,Treed,Stable
28,341,1984,222,Other,Non-treed,
28,341,2018,187,Other,Non-treed,Stable
28,342,1984,199,Forest,Non-treed,
28,342,2001,189,Forest,Treed,Stable
