project_id,year,day,landuse,landcover,change_process,plotid
13,2017,70,Forest,Trees,Growth/Recovery,57
13,1984,116,Forest,Trees,NA,58
13,2017,71,Forest,Trees,Stable,58
13,1984,116,Forest,Trees,NA,59
13,2017,55,Forest,Trees,Stable,59
13,1984,239,Forest,Trees,NA,60
13,2017,73,Forest,Trees,Stable,60
13,1984,280,Forest,Trees,NA,61
13,2017,50,Forest,Trees,Stable,61
13,1984,262,Forest,Trees,NA,62
13,2017,56,Forest,Trees,Stable,62
13,1984,228,Forest,Trees,NA,63
13,2017,71,Forest,Trees,Stable,63
13,1985,209,Forest,Trees,NA,64
13,2017,58,Forest,Trees,Stable,64
13,1984,116,Forest,Trees,NA,65
13,2017,55,Forest,Trees,Stable,65
13,1984,317,Forest,Trees,NA,66
13,2017,71,Forest,Trees,Stable,66
13,1984,136,Forest,Trees,NA,67
13,2009,219,Forest,Trees,Stable,67
13,2010,206,Forest,Non-tree,Harvest,67
13,2017,58,Forest,Trees,Growth/Recovery,67
13,1984,164,Forest,Trees,NA,68
13,2005,229,Forest,Trees,Stable,68
13,2006,208,Forest,Trees,Harvest,68
13,2017,69,Forest,Trees,Growth/Recovery,68
13,1984,228,Forest,Trees,NA,69
13,2017,70,Forest,Trees,Stable,69
13,1984,191,Forest,Trees,NA,70
13,2017,16,Forest,Trees,Stable,70
13,1984,262,Forest,Trees,NA,71
13,2017,56,Forest,Trees,Stable,71
13,1984,228,Forest,Trees,NA,72
13,2017,71,Forest,Trees,Stable,72
13,1984,173,Forest,Trees,NA,73
13,2015,217,Forest,Trees,Stable,73
13,2016,245,Forest,Trees,Harvest,73
13,2017,71,Forest,Trees,Growth/Recovery,73
13,1984,317,Forest,Trees,NA,74
13,2017,70,Forest,Trees,Stable,74
13,1984,228,Forest,Trees,NA,75
13,2017,70,Forest,Trees,Stable,75
13,1984,317,Forest,Trees,NA,76
13,2017,71,Forest,Trees,Stable,76
13,1984,228,Forest,Trees,NA,77
13,2002,230,Forest,Trees,Stable,77
13,2003,216,Forest,Non-tree,Harvest,77
13,2017,71,Forest,Trees,Growth/Recovery,77
13,1985,223,Forest,Trees,NA,78
13,2017,47,Forest,Trees,Stable,78
13,1985,216,Forest,Trees,NA,79
13,2017,47,Forest,Trees,Stable,79
13,1985,223,Forest,Trees,NA,80
13,2017,71,Forest,Trees,Stable,80
13,1984,116,Forest,Trees,NA,81
13,2017,46,Forest,Trees,Stable,81
13,1984,173,Forest,Trees,NA,82
13,2005,206,Forest,Trees,Stable,82
13,2006,210,Forest,Non-tree,Harvest,82
13,2017,63,Forest,Non-tree,Growth/Recovery,82
13,1984,319,Forest,Trees,NA,83
13,2017,17,Forest,Trees,Stable,83
13,1984,111,Forest,Trees,NA,84
13,2009,227,Forest,Trees,Stable,84
13,2010,222,Forest,Non-tree,Harvest,84
13,2017,26,Forest,Non-tree,Growth/Recovery,84
13,1984,319,Forest,Trees,NA,85
13,2016,207,Forest,Trees,Stable,85
13,1984,111,Forest,Trees,NA,86
13,2017,58,Forest,Trees,Stable,86
13,1984,116,Forest,Trees,NA,87
13,1989,218,Forest,Trees,Stable,87
13,1990,212,Forest,Trees,Harvest,87
13,2017,55,Forest,Trees,Growth/Recovery,87
13,1984,191,Forest,Trees,NA,88
13,2017,42,Forest,Trees,Stable,88
13,1984,228,Forest,Trees,NA,89
13,2017,69,Forest,Trees,Stable,89
13,1985,207,Forest,Trees,NA,90
13,2017,16,Forest,Trees,Stable,90
13,1984,317,Forest,Trees,NA,91
13,2017,71,Forest,Trees,Stable,91
13,1984,116,Forest,Trees,NA,92
13,2017,71,Forest,Trees,Stable,92
13,1984,317,Forest,Trees,NA,93
13,2017,71,Forest,Trees,Stable,93
13,1985,223,Forest,Trees,NA,94
13,2017,47,Forest,Trees,Stable,94
13,1984,136,Forest,Trees,NA,95
13,2017,42,Forest,Trees,Stable,95
13,1985,200,Forest,Trees,NA,96
13,2017,56,Forest,Trees,Stable,96
13,1985,223,Forest,Trees,NA,97
13,2017,71,Forest,Trees,Stable,97
13,1984,301,Forest,Trees,NA,98
13,2006,208,Forest,Trees,Stable,98
13,2007,196,Forest,Non-tree,Wind,98
13,2017,71,Forest,Trees,Growth/Recovery,98
13,1984,317,Forest,Trees,NA,99
13,1985,184,Forest,Non-tree,Harvest,99
13,1997,224,Forest,Trees,Growth/Recovery,99
13,2017,71,Forest,Trees,Stable,99
13,1984,171,Other,Non-tree,NA,100
13,1996,220,Forest,Non-tree,Stable,100
13,2017,46,Forest,Trees,Growth/Recovery,100
13,1985,209,Forest,Trees,NA,101
13,2017,56,Forest,Trees,Stable,101
13,1984,116,Forest,Trees,NA,102
13,2006,200,Forest,Trees,Stable,102
13,2008,206,Forest,Non-tree,Decline,102
13,2017,46,Forest,Trees,Growth/Recovery,102
13,1984,239,Forest,Trees,NA,103
13,2017,73,Forest,Trees,Stable,103
13,1984,317,Forest,Trees,NA,104
13,2017,71,Forest,Trees,Stable,104
13,1984,232,Forest,Trees,NA,105
13,2017,42,Forest,Trees,Stable,105
13,1984,278,Forest,Trees,NA,106
13,2017,71,Forest,Trees,Stable,106
13,1984,232,Forest,Trees,NA,107
13,2017,42,Forest,Trees,Stable,107
13,1984,239,Forest,Trees,NA,108
13,2017,41,Forest,Trees,Stable,108
13,1984,317,Forest,Trees,NA,109
13,2017,71,Forest,Trees,Growth/Recovery,109
13,1984,262,Forest,Trees,NA,110
13,2017,48,Forest,Trees,Stable,110
13,1984,127,Forest,Trees,NA,111
13,2017,50,Forest,Trees,Stable,111
13,1984,116,Forest,Trees,NA,112
13,2017,55,Forest,Trees,Stable,112
13,1984,191,Forest,Trees,NA,113
13,1989,220,Forest,Trees,Stable,113
13,1991,249,Forest,Trees,Harvest,113
13,2010,197,Forest,Trees,Growth/Recovery,113
13,2011,249,Forest,Trees,Harvest,113
13,2017,16,Forest,Trees,Growth/Recovery,113
13,1984,116,Forest,Trees,NA,114
13,2017,46,Forest,Trees,Stable,114
13,1984,116,Forest,Trees,NA,115
13,2017,71,Forest,Trees,Stable,115
13,1984,262,Forest,Trees,NA,116
13,2017,56,Forest,Trees,Stable,116
13,1984,262,Forest,Trees,NA,117
13,2017,73,Forest,Trees,Stable,117
13,1984,239,Forest,Trees,NA,118
13,2017,73,Forest,Trees,Stable,118
13,1984,173,Forest,Trees,NA,119
13,2017,71,Forest,Trees,Stable,119
13,1984,191,Forest,Trees,NA,120
13,2017,65,Forest,Trees,Stable,120
13,1984,116,Forest,Trees,NA,121
13,2017,46,Forest,Trees,Stable,121
13,1984,317,Forest,Trees,NA,122
13,1999,214,Forest,Trees,Stable,122
13,2000,217,Forest,Trees,Harvest,122
13,2017,71,Forest,Trees,Growth/Recovery,122
13,1985,207,Forest,Trees,NA,123
13,2017,71,Forest,Trees,Stable,123
13,1984,228,Forest,Trees,NA,124
13,2017,71,Forest,Trees,Stable,124
13,1984,173,Forest,Trees,NA,125
13,2017,47,Forest,Trees,Stable,125
13,1985,200,Forest,Trees,NA,126
13,2017,64,Forest,Trees,Stable,126
13,1985,207,Forest,Trees,NA,127
13,2017,55,Forest,Trees,Stable,127
13,1984,262,Forest,Trees,NA,128
13,2017,73,Forest,Trees,Stable,128
13,1985,207,Forest,Trees,NA,129
13,2017,71,Forest,Trees,Stable,129
13,1984,239,Forest,Trees,NA,130
13,2017,41,Forest,Trees,Stable,130
13,1984,317,Forest,Trees,NA,131
13,2002,230,Forest,Trees,Stable,131
13,2003,225,Forest,Trees,Harvest,131
13,2017,71,Forest,Trees,Growth/Recovery,131
13,1984,173,Forest,Trees,NA,132
13,2003,218,Forest,Trees,Stable,132
13,2004,221,Forest,Trees,Decline,132
13,2010,197,Forest,Trees,Growth/Recovery,132
13,2011,208,Forest,Trees,Decline,132
13,2017,23,Forest,Trees,Growth/Recovery,132
13,1985,223,Forest,Trees,NA,133
13,2017,55,Forest,Trees,Stable,133
13,1984,191,Forest,Trees,NA,134
13,2009,219,Forest,Trees,Stable,134
13,2010,190,Forest,Trees,Harvest,134
13,2017,65,Forest,Trees,Growth/Recovery,134
13,1985,184,Forest,Trees,NA,135
13,2017,64,Forest,Trees,Stable,135
13,1984,191,Forest,Trees,NA,136
13,1994,234,Forest,Trees,Stable,136
13,1997,194,Other,Non-tree,Harvest,136
13,2017,65,Other,Non-tree,Other,136
13,1984,239,Forest,Trees,NA,137
13,1992,222,Forest,Trees,Stable,137
13,1993,215,Forest,Non-tree,Harvest,137
13,2005,217,Forest,Trees,Growth/Recovery,137
13,2017,58,Forest,Trees,Growth/Recovery,137
13,1984,280,Forest,Non-tree,NA,138
13,1994,211,Forest,Trees,Growth/Recovery,138
13,2017,50,Forest,Trees,Growth/Recovery,138
13,1984,127,Forest,Trees,NA,139
13,2017,73,Forest,Trees,Stable,139
13,1984,232,Forest,Trees,NA,140
