project_id,plotid,year,day,landuse,landcover,change_process
15,454,1984,179,Forest,Non-treed,
15,454,1998,201,Forest,Treed,Regrowth
15,454,2018,208,Forest,Treed,Stable
15,455,1984,190,Forest,Treed,
15,455,2018,210,Forest,Treed,Stable
15,456,1984,218,Other,Non-treed,
15,456,2018,200,Other,Non-treed,Stable
15,457,1984,204,Forest,Treed,
15,457,2018,200,Forest,Treed,Stable
15,458,1984,197,Forest,Non-treed,
15,458,2001,195,Forest,Treed,Regrowth
15,458,2018,210,Forest,Treed,Stable
15,459,1984,204,Forest,Treed,
15,459,1986,193,Forest,Treed,Stable
15,459,1987,196,Forest,Non-treed,Unknown canopy disturbance
15,459,1995,193,Forest,Treed,Regrowth
15,459,2018,200,Forest,Treed,Stable
15,460,1984,172,Forest,Treed,
15,460,2018,200,Forest,Treed,Stable
15,461,1984,172,Forest,Treed,
15,461,2018,193,Forest,Treed,Stable
15,462,1984,190,Forest,Non-treed,
15,462,2000,186,Forest,Treed,Stable
15,462,2008,184,Forest,Treed,Regrowth
15,462,2018,211,Forest,Treed,Stable
15,463,1984,179,Forest,Treed,
15,463,1996,196,Forest,Treed,Stable
15,463,1998,201,Forest,Treed,Unknown canopy disturbance
15,463,2018,208,Forest,Treed,Stable
15,464,1984,179,Forest,Non-treed,
15,464,1993,219,Forest,Treed,Regrowth
15,464,2018,200,Forest,Treed,Stable
15,465,1984,197,Forest,Non-treed,
15,465,1991,200,Forest,Treed,Regrowth
15,465,2018,194,Forest,Treed,Stable
15,466,1984,179,Forest,Non-treed,
15,466,1992,201,Forest,Treed,Regrowth
15,466,2018,200,Forest,Treed,Stable
15,467,1984,197,Forest,Treed,
15,467,2018,202,Forest,Treed,Stable
15,468,1984,197,Other,Non-treed,
15,468,2018,201,Other,Non-treed,Stable
15,482,1984,179,Other,Non-treed,
15,482,2018,200,Other,Non-treed,Stable
15,483,1984,213,Forest,Treed,
15,483,2018,202,Forest,Treed,Stable
15,484,1984,172,Other,Non-treed,
15,484,2018,201,Other,Non-treed,Stable
15,485,1984,197,Other,Non-treed,
15,485,2018,202,Other,Non-treed,Stable
15,486,1984,190,Forest,Non-treed,
15,486,2000,202,Forest,Treed,Stable
15,486,2008,192,Forest,Treed,Regrowth
15,486,2018,211,Forest,Treed,Stable
15,487,1984,218,Forest,Treed,
15,487,2017,197,Forest,Treed,Stable
15,487,2018,200,Forest,Non-treed,Unknown canopy disturbance
15,488,1984,197,Other,Non-treed,
15,488,2018,210,Other,Non-treed,Stable
15,489,1984,197,Other,Non-treed,
15,489,2018,202,Other,Non-treed,Stable
15,490,1984,190,Other,Non-treed,
15,490,2018,211,Other,Non-treed,Stable
15,491,1984,204,Forest,Treed,
15,491,2018,200,Forest,Treed,Stable
15,492,1984,190,Forest,Treed,
15,492,2018,211,Forest,Treed,Stable
15,493,1984,179,Forest,Treed,
15,493,2018,200,Forest,Treed,Stable
15,494,1984,172,Forest,Treed,
15,494,2018,200,Forest,Treed,Stable
15,495,1984,163,Forest,Treed,
15,495,2018,200,Forest,Treed,Stable
15,496,1984,204,Forest,Treed,
15,496,2018,200,Forest,Treed,Stable
15,497,1984,172,Forest,Treed,
15,497,2000,192,Forest,Treed,Stable
15,497,2001,194,Forest,Non-treed,Unknown canopy disturbance
15,497,2018,208,Forest,Treed,Regrowth
15,498,1984,197,Other,Non-treed,
15,498,2018,202,Other,Non-treed,Stable
15,499,1984,197,Forest,Treed,
15,499,1991,200,Forest,Treed,Regrowth
15,499,2018,194,Forest,Treed,Stable
15,500,1984,197,Other,Non-treed,
15,500,2018,201,Other,Non-treed,Stable
15,176,1984,204,Forest,Treed,
15,176,2018,201,Forest,Treed,Stable
15,178,1984,179,Forest,Treed,
15,178,2018,201,Forest,Treed,Stable
15,230,1984,204,Forest,Treed,
15,230,2018,201,Forest,Treed,Stable
15,251,1984,197,Forest,Non-treed,
15,251,1999,198,Forest,Non-treed,Stable
15,251,2005,198,Forest,Treed,Regrowth
15,251,2017,183,Forest,Treed,Stable
15,251,2018,202,Forest,Non-treed,Unknown canopy disturbance
15,364,1984,204,Forest,Treed,
15,364,2018,201,Forest,Treed,Stable
15,378,1984,197,Forest,Treed,
15,378,2018,195,Forest,Treed,Stable
