project_id,plotid,plotid_old,x,y
24,1,1,5036477.29586548,2996862.0491572
24,2,3,4994622.12215606,3258367.76462535
24,3,4,4630713.26851478,3396788.8058401
24,4,6,4675591.76324317,3286046.26847881
24,5,9,5146574.46266996,3453558.87070472
24,6,12,4669431.47649031,3205300.69834747
24,7,14,5108384.42348726,2988451.55562388
24,8,15,4789818.19951243,3313313.71190826
24,9,16,4684917.96571406,3345372.74139848
24,10,17,5238871.27892195,3253302.20536159
24,11,18,4986498.03438072,3112035.25004826
24,12,39,4875381.29464267,3081406.2937209
24,13,43,5182656.96856249,3111762.48238385
24,14,44,5160375.17042721,3035085.43623728
24,15,46,4781888.47559233,3431162.38934787
24,16,49,5092995.99617582,3142418.182759
24,17,50,5153589.53530604,3471274.91258071
24,18,51,4748245.33955886,3250654.63770856
24,19,52,5070379.62543651,3438299.21039206
24,20,56,5079375.99083414,3465563.76034043
24,21,57,5140661.70621646,3082148.02408361
24,22,58,4953351.60325682,3406848.35661151
24,23,59,4883518.16043201,3142603.53284488
24,24,60,5222978.95391857,3403718.74836003
24,25,63,4955979.27439102,3072387.72115849
24,26,65,5108600.15054786,3508313.02597875
24,27,66,4727518.0619377,3431727.87206874
24,28,67,4660259.90509137,3198290.75261633
24,29,69,5035950.92836069,3395036.22127544
24,30,71,4606963.47861179,3326331.4424539
24,31,72,4793301.86728179,3170621.72551598
24,32,73,4640437.09056868,3256451.51069497
24,33,74,4749371.55091133,3322633.23552179
24,34,76,5200315.31976183,3059089.60083912
24,35,78,5108208.33648238,3494837.26647796
24,36,79,4967502.71237119,3045149.6367849
24,37,85,4990213.6225736,3110501.45805211
24,38,87,4728681.14431465,3273627.98981232
24,39,89,5216203.0320445,3033339.14986808
24,40,90,4859236.82266541,3418062.94895714
24,41,92,5232031.15316847,2985470.12877946
24,42,93,5002204.44445738,3445268.45102176
24,43,95,5101699.5108418,3481701.54478661
24,44,96,4818000.4646843,3284761.08312236
24,45,97,4980254.71830274,3405048.0352695
24,46,98,4949781.09594797,3432473.62112129
24,47,99,5127826.6887866,3011364.3317905
24,48,102,4669952.52307594,3152943.23924724
24,49,103,5051971.50954254,3494847.93228975
24,50,109,4933183.23679038,3442111.73364053
24,51,112,5066902.58892176,3468000.63631925
24,52,114,5202160.44288805,3237267.61587687
24,53,120,5161147.3812173,3051653.72548198
24,54,123,5210174.63356105,3121696.54831331
24,55,125,5134778.29682851,3449897.3139714
24,56,126,5066822.8486449,2974486.87178853
24,57,127,4755421.35405734,3421851.10842113
24,58,128,5127749.93861963,3241835.44821327
24,59,130,4968851.39421238,2984304.65986139
24,60,132,4730645.79138031,3273913.56370077
24,61,135,4744743.32584683,3252611.03132231
24,62,136,5124510.23992587,3011257.60254834
24,63,137,4756501.63099564,3406818.32325203
24,64,140,4720201.96353454,3278853.49487004
24,65,143,4946959.77846267,3499618.13651486
24,66,148,4978766.53972678,3104179.4751316
24,67,153,4633339.00460911,3321592.87188157
24,68,155,5187883.27021594,3430273.82781341
24,69,161,5106269.43163104,3157693.65365193
24,70,162,4627419.61785014,3296810.51652861
24,71,163,5114162.32365138,3100720.04745381
24,72,165,5215548.18335321,3239826.09750374
24,73,167,5021264.82391149,3123504.63631209
24,74,170,4665544.31497791,3384722.3669885
24,75,171,4852863.8135009,3418479.40172939
24,76,175,4778323.8103403,3369345.19823094
24,77,176,5195127.18434478,2983186.94708021
24,78,183,4795746.17500299,3177501.37900612
24,79,184,5015517.67218884,3098593.02970058
24,80,186,4860836.15051885,3357277.81262873
24,81,188,5108469.76695154,3338089.06502457
24,82,191,5179031.26379841,3467196.81863439
24,83,193,5199167.23859936,3089878.17830597
24,84,197,5181395.12709826,3302738.95394761
24,85,198,4809353.63863938,3439034.32758322
24,86,202,4959074.77040835,3453905.44830131
24,87,206,5106149.86121736,3510036.3124021
24,88,210,4639335.13608609,3402530.69653492
24,89,212,4976743.67203176,3192635.50736027
24,90,216,5227023.90815938,3121583.5759533
24,91,219,5204949.5080266,3349145.23484518
24,92,225,5056343.23627433,3198176.48935591
24,93,228,5244481.14206363,2967014.96051646
24,94,232,5021303.13334309,3511090.6742283
24,95,242,5008159.27902308,3440496.15262152
24,96,250,4845379.19727279,3194757.14916721
24,97,253,5111885.94102012,3437630.66471722
24,98,254,5179111.67113043,3528791.14573265
24,99,257,5067688.96424663,3029685.94259186
24,100,260,4676727.55032346,3241734.91739186
24,101,262,4861863.45919175,3463249.75645142
24,102,263,4846549.41540821,3292980.354667
24,103,270,4940788.89657896,3217068.05034005
24,104,273,4871220.8746856,3240981.82898856
24,105,275,5239678.31713933,3141733.02318207
24,106,277,5122469.65778908,3034145.3911137
24,107,280,4679464.62753776,3214205.87776771
24,108,288,5213196.89727407,2969536.50308771
24,109,290,5020639.0739379,3427449.32457001
24,110,291,4871535.94822751,3145754.5541285
24,111,295,4940168.65778598,3091351.20400243
24,112,299,4849371.28920269,3535056.83877053
24,113,300,4901701.48362017,3099078.96802083
24,114,301,5121699.2432417,3253749.45906244
24,115,305,5107307.84992005,3527918.79818059
24,116,306,4750756.34328893,3390052.03381079
24,117,314,4905705.5188267,3130721.12034734
24,118,320,4825784.52535795,3309522.66332619
24,119,322,5242123.91263401,2963099.09811023
24,120,323,4773336.94679972,3431357.70269235
24,121,324,5119081.61329982,3457928.78872834
24,122,325,5001604.84822058,3217603.09527849
24,123,327,4744156.36653299,3285496.71447857
24,124,328,4634109.67989981,3331275.32389862
24,125,329,4759881.19644752,3149454.83915494
24,126,330,4833799.43520888,3466796.3798392
24,127,332,5150422.8940027,3001377.55488018
24,128,334,4748029.30740472,3173290.20859638
